business_name,business_address,city,state,zip_code,business_contact,email,website,approval_date,objectid
12th Street Cantina Inc,3312 Spring Garden Street ,Philadelphia,PA,19104,Christina O'Neil,accounting@12stcatering.com,,2025-02-04 05:00:00+00,1
3RD FLOOR MEDIA LLC,"7544 FAYETTE STREET, SUITE 1F ",PHILADELPHIA,PA,19150,LISA SHEPHERD,LISA@3FM.FM,,2026-01-15 05:00:00+00,2
742 LLC,742 S MARVINE STREET ,PHILADELPHIA,PA,19147,CHRISTOPHER S PETERS,CSP200@YAHOO.COM,,2025-12-10 05:00:00+00,3
777 FAMILY RENTALS LLC,3025 N 35TH STREET ,PHILADELPHIA,PA,19132,KIMEKIA HILL,777.FAMILYRENTALSLLC@GMAIL.COM,,2025-12-10 05:00:00+00,4
A3M PROPERTY SOLUTIONS REAL ESTATE INV,1603 E CARDEZA ST ,PHILADELPHIA,PA,19150,MARCUS BELCHER,A3MPROPERTY@SOLUTIONS4U.COM,,2024-05-09 04:00:00+00,9
AAA SCHOOL OF TRUCKING,442 E. GIRARD AVE ,PHILADELPHIA,PA,19125,RYAN SOLOBY,RYAN@AAACDL.COM,,2025-08-19 04:00:00+00,10
"Aardvark Pest Management, Inc.",9517 Frankford Avenue ,PHILADELPHIA,PA,19114,Alyssia Zimmaro,aardvarkpestaz@gmail.com,,2025-09-04 04:00:00+00,11
Above All Salvage Inc.,6700 New State Road ,Philadelphia,PA,19135,Timothy Donovan,tim@abovealltowingpa.com,,2026-03-10 04:00:00+00,12
ACE OF DIAMOND LLC,123 W WYNEVA ST ,PHILADELPHIA,PA,19144,LORENZO HENDERSON,ACEOFDIAMONDLLC@GMAIL.COM,,2025-10-09 04:00:00+00,13
A C RADIO SUPPLY INC,1539 WEST PASSYUNK AVENUE ,PHILADELPHIA,PA,19145,STEPHEN BARATTA,ACRADIO@VERIZON.NET,,2025-08-28 04:00:00+00,5
"ADANDA, LLC",1308 MOORE STREET ,PHILADELPHIA,PA,19148,DANIEL BROWN,DAN@SKETCHUPTRAINER.COM,,2025-10-15 04:00:00+00,14
"ADMINISTRATIVE ASSOCIATES, LLC",1039 South 50th Street ,Philadelphia,PA,19143,Nadira Branch,nadira@myadminassociates.com,,2025-07-31 04:00:00+00,15
"ADVANCE DETECTIVE BUREAU, INC. DBA D.O. RICHARDSON & ASSOCIATES",10 East Chestnut Hill Ave ,Philadelphia,PA,19118,David O Richardson,david@dorichardson.com,,2025-08-28 04:00:00+00,16
AJA CONSTRUCTION GROUP INC,6418 WOODLAND AVE SUITE 1FF,PHILADELPHIA,PA,19142,ALEXANDER DIKE,BID.AJACg@GMAIL.COM,,2025-07-31 04:00:00+00,17
AJX INC.,725 N 4TH STREET ,PHILADELPHIA,PA,19123,KELLY JENNINGS,KELLY.JENNINGS@EXPLOREEXIT.COM,,2026-01-15 05:00:00+00,18
ALL SEASONS LANDSCAPING CO INC,4702 Chester Ave ,Philadelphia,PA,19143,Stephen A Gansz,steve@aslplant.com,,2025-08-28 04:00:00+00,19
ALMA ARCHITECTURE LLC,441 N 5TH STREET #204,PHILADELPHIA,PA,19123,ADRIENNE L MCKINNEY,AMCKINNEY@ALMAARCHITECTURE.COM,,2025-05-13 04:00:00+00,20
ALPHA TO OMEGA CONSTRUCTION LLC,6928 DICKS AVE ,PHILADELPHIA,PA,19142,ERIC DASSI,INFO@ALPHATOOMEGACONSTRUCTION.COM,,2025-07-22 04:00:00+00,21
