"Label (Grouping)","Berkeley city, California!!Total!!Estimate","Berkeley city, California!!Total!!Margin of Error","Berkeley city, California!!Percent!!Estimate","Berkeley city, California!!Percent!!Margin of Error","Berkeley city, California!!Male!!Estimate","Berkeley city, California!!Male!!Margin of Error","Berkeley city, California!!Percent Male!!Estimate","Berkeley city, California!!Percent Male!!Margin of Error","Berkeley city, California!!Female!!Estimate","Berkeley city, California!!Female!!Margin of Error","Berkeley city, California!!Percent Female!!Estimate","Berkeley city, California!!Percent Female!!Margin of Error","Philadelphia city, Pennsylvania!!Total!!Estimate","Philadelphia city, Pennsylvania!!Total!!Margin of Error","Philadelphia city, Pennsylvania!!Percent!!Estimate","Philadelphia city, Pennsylvania!!Percent!!Margin of Error","Philadelphia city, Pennsylvania!!Male!!Estimate","Philadelphia city, Pennsylvania!!Male!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Male!!Estimate","Philadelphia city, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia city, Pennsylvania!!Female!!Estimate","Philadelphia city, Pennsylvania!!Female!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Female!!Estimate","Philadelphia city, Pennsylvania!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","29,172","±1,172","(X)","(X)","13,234","±822","(X)","(X)","15,938","±1,054","(X)","(X)","155,837","±96","(X)","(X)","75,529","±86","(X)","(X)","80,308","±60","(X)","(X)"
"        Less than high school graduate","545","±176","1.9%","±0.6","415","±149","3.1%","±1.2","130","±97","0.8%","±0.6","17,597","±1,320","11.3%","±0.8","10,226","±1,102","13.5%","±1.5","7,371","±843","9.2%","±1.0"
"        High school graduate (includes equivalency)","8,817","±636","30.2%","±1.9","4,034","±450","30.5%","±3.2","4,783","±519","30.0%","±2.7","50,251","±2,095","32.2%","±1.3","26,193","±1,519","34.7%","±2.0","24,058","±1,464","30.0%","±1.8"
"        Some college or associate's degree","14,568","±1,115","49.9%","±3.0","6,537","±785","49.4%","±4.3","8,031","±848","50.4%","±3.8","60,839","±2,076","39.0%","±1.3","27,561","±1,437","36.5%","±1.9","33,278","±1,522","41.4%","±1.9"
"        Bachelor's degree or higher","5,242","±581","18.0%","±1.9","2,248","±355","17.0%","±2.6","2,994","±504","18.8%","±3.0","27,150","±1,578","17.4%","±1.0","11,549","±946","15.3%","±1.2","15,601","±1,148","19.4%","±1.4"
"    Population 25 years and over","75,847","±1,228","(X)","(X)","36,906","±943","(X)","(X)","38,941","±965","(X)","(X)","1,089,070","±103","(X)","(X)","501,757","±101","(X)","(X)","587,313","±66","(X)","(X)"
"        Less than 9th grade","1,687","±362","2.2%","±0.5","805","±241","2.2%","±0.6","882","±234","2.3%","±0.6","53,932","±2,445","5.0%","±0.2","25,862","±1,962","5.2%","±0.4","28,070","±1,384","4.8%","±0.2"
"        9th to 12th grade, no diploma","1,483","±306","2.0%","±0.4","883","±231","2.4%","±0.6","600","±201","1.5%","±0.5","79,231","±3,696","7.3%","±0.3","38,054","±2,364","7.6%","±0.5","41,177","±2,360","7.0%","±0.4"
"        High school graduate (includes equivalency)","4,954","±628","6.5%","±0.8","2,552","±464","6.9%","±1.2","2,402","±404","6.2%","±1.0","323,153","±5,612","29.7%","±0.5","157,264","±3,337","31.3%","±0.7","165,889","±4,301","28.2%","±0.7"
