"Label (Grouping)","Berkeley city, California!!Estimate","Berkeley city, California!!Margin of Error","Berkeley city, California!!Percent","Berkeley city, California!!Percent Margin of Error","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","",""
"    Total housing units","53,145","±1,003","53,145","(X)","748,270","±241","748,270","(X)"
"        Occupied housing units","47,135","±1,021","88.7%","±1.1","679,428","±2,660","90.8%","±0.4"
"        Vacant housing units","6,010","±598","11.3%","±1.1","68,842","±2,623","9.2%","±0.4"
"        Homeowner vacancy rate","0.5","±0.4","(X)","(X)","1.1","±0.2","(X)","(X)"
"        Rental vacancy rate","9.6","±1.5","(X)","(X)","5.4","±0.4","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","",""
"    Total housing units","53,145","±1,003","53,145","(X)","748,270","±241","748,270","(X)"
"        1-unit, detached","21,465","±709","40.4%","±1.3","63,292","±2,279","8.5%","±0.3"
"        1-unit, attached","1,844","±258","3.5%","±0.5","416,326","±3,999","55.6%","±0.5"
"        2 units","3,839","±440","7.2%","±0.8","59,135","±2,561","7.9%","±0.3"
"        3 or 4 units","5,614","±540","10.6%","±1.0","48,323","±2,189","6.5%","±0.3"
"        5 to 9 units","4,727","±563","8.9%","±1.0","26,434","±1,744","3.5%","±0.2"
"        10 to 19 units","4,825","±508","9.1%","±0.9","18,890","±1,362","2.5%","±0.2"
"        20 or more units","10,697","±743","20.1%","±1.3","112,704","±2,345","15.1%","±0.3"
"        Mobile home","104","±81","0.2%","±0.2","3,032","±621","0.4%","±0.1"
"        Boat, RV, van, etc.","30","±27","0.1%","±0.1","134","±109","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","","","","","",""
"    Total housing units","53,145","±1,003","53,145","(X)","748,270","±241","748,270","(X)"
"        Built 2020 or later","375","±130","0.7%","±0.2","7,990","±945","1.1%","±0.1"
"        Built 2010 to 2019","3,109","±443","5.9%","±0.8","37,827","±1,619","5.1%","±0.2"
"        Built 2000 to 2009","2,181","±448","4.1%","±0.8","26,474","±1,505","3.5%","±0.2"
"        Built 1990 to 1999","2,078","±363","3.9%","±0.7","18,957","±1,325","2.5%","±0.2"
"        Built 1980 to 1989","2,362","±409","4.4%","±0.8","33,592","±2,102","4.5%","±0.3"
"        Built 1970 to 1979","3,893","±508","7.3%","±0.9","57,862","±3,005","7.7%","±0.4"
"        Built 1960 to 1969","6,497","±636","12.2%","±1.2","79,642","±2,293","10.6%","±0.3"
"        Built 1950 to 1959","3,653","±363","6.9%","±0.7","107,781","±3,009","14.4%","±0.4"
"        Built 1940 to 1949","4,376","±509","8.2%","±0.9","79,828","±2,703","10.7%","±0.4"
"        Built 1939 or earlier","24,621","±995","46.3%","±1.7","298,317","±4,110","39.9%","±0.6"
"ROOMS","","","","","","","",""
"    Total housing units","53,145","±1,003","53,145","(X)","748,270","±241","748,270","(X)"
"        1 room","4,357","±718","8.2%","±1.3","33,799","±2,153","4.5%","±0.3"
"        2 rooms","5,270","±598","9.9%","±1.1","41,179","±2,141","5.5%","±0.3"
"        3 rooms","8,885","±667","16.7%","±1.2","90,655","±2,940","12.1%","±0.4"
"        4 rooms","10,339","±774","19.5%","±1.4","109,874","±3,212","14.7%","±0.4"
"        5 rooms","6,236","±583","11.7%","±1.1","105,018","±3,518","14.0%","±0.5"
"        6 rooms","6,384","±525","12.0%","±1.0","178,671","±4,255","23.9%","±0.6"
"        7 rooms","4,209","±405","7.9%","±0.7","90,271","±3,223","12.1%","±0.4"
"        8 rooms","3,322","±413","6.3%","±0.8","49,838","±2,104","6.7%","±0.3"
"        9 rooms or more","4,143","±370","7.8%","±0.7","48,965","±2,160","6.5%","±0.3"
"        Median rooms","4.3","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)"
"BEDROOMS","","","","","","","",""
"    Total housing units","53,145","±1,003","53,145","(X)","748,270","±241","748,270","(X)"
"        No bedroom","5,705","±767","10.7%","±1.4","38,950","±2,250","5.2%","±0.3"
"        1 bedroom","12,413","±877","23.4%","±1.6","121,944","±3,257","16.3%","±0.4"
"        2 bedrooms","16,026","±947","30.2%","±1.6","169,669","±3,438","22.7%","±0.5"
"        3 bedrooms","11,118","±640","20.9%","±1.2","328,878","±4,444","44.0%","±0.6"
"        4 bedrooms","6,025","±436","11.3%","±0.8","67,714","±2,364","9.0%","±0.3"
"        5 or more bedrooms","1,858","±264","3.5%","±0.5","21,115","±1,108","2.8%","±0.1"
"HOUSING TENURE","","","","","","","",""
"    Occupied housing units","47,135","±1,021","47,135","(X)","679,428","±2,660","679,428","(X)"
"        Owner-occupied","20,829","±792","44.2%","±1.6","351,905","±4,190","51.8%","±0.6"
"        Renter-occupied","26,306","±1,000","55.8%","±1.6","327,523","±4,547","48.2%","±0.6"
"        Average household size of owner-occupied unit","2.57","±0.07","(X)","(X)","2.45","±0.02","(X)","(X)"
"        Average household size of renter-occupied unit","2.04","±0.07","(X)","(X)","2.05","±0.02","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","",""
"    Occupied housing units","47,135","±1,021","47,135","(X)","679,428","±2,660","679,428","(X)"
"        Moved in 2023 or later","3,047","±362","6.5%","±0.8","35,580","±1,760","5.2%","±0.3"
"        Moved in 2020 to 2022","11,351","±602","24.1%","±1.2","143,597","±3,163","21.1%","±0.5"
"        Moved in 2010 to 2019","15,312","±861","32.5%","±1.6","257,484","±4,306","37.9%","±0.6"
"        Moved in 2000 to 2009","6,508","±595","13.8%","±1.2","99,946","±2,920","14.7%","±0.4"
"        Moved in 1990 to 1999","5,121","±466","10.9%","±1.0","60,035","±2,331","8.8%","±0.3"
"        Moved in 1989 and earlier","5,796","±497","12.3%","±1.0","82,786","±2,558","12.2%","±0.4"
"VEHICLES AVAILABLE","","","","","","","",""
"    Occupied housing units","47,135","±1,021","47,135","(X)","679,428","±2,660","679,428","(X)"
"        No vehicles available","9,760","±790","20.7%","±1.5","189,616","±3,723","27.9%","±0.5"
"        1 vehicle available","21,067","±784","44.7%","±1.4","309,137","±3,990","45.5%","±0.6"
"        2 vehicles available","12,483","±696","26.5%","±1.3","139,981","±3,826","20.6%","±0.6"
"        3 or more vehicles available","3,825","±385","8.1%","±0.9","40,694","±1,843","6.0%","±0.3"
"HOUSE HEATING FUEL","","","","","","","",""
"    Occupied housing units","47,135","±1,021","47,135","(X)","679,428","±2,660","679,428","(X)"
"        Utility gas","31,881","±1,030","67.6%","±1.9","472,792","±4,037","69.6%","±0.6"
"        Bottled or tank gas (propane, butane, etc.)","485","±136","1.0%","±0.3","11,406","±1,144","1.7%","±0.2"
"        Electricity","12,688","±972","26.9%","±1.9","167,550","±4,003","24.7%","±0.6"
"        Fuel oil, kerosene, etc.","73","±52","0.2%","±0.1","18,176","±1,442","2.7%","±0.2"
"        Coal or coke","37","±43","0.1%","±0.1","238","±257","0.0%","±0.1"
"        Wood","69","±48","0.1%","±0.1","644","±210","0.1%","±0.1"
"        Solar energy","505","±129","1.1%","±0.3","435","±194","0.1%","±0.1"
"        Other fuel","87","±50","0.2%","±0.1","2,587","±517","0.4%","±0.1"
"        No fuel used","1,310","±227","2.8%","±0.5","5,600","±795","0.8%","±0.1"
"SELECTED CHARACTERISTICS","","","","","","","",""
"    Occupied housing units","47,135","±1,021","47,135","(X)","679,428","±2,660","679,428","(X)"
"        Lacking complete plumbing facilities","350","±146","0.7%","±0.3","2,619","±563","0.4%","±0.1"
"        Lacking complete kitchen facilities","657","±218","1.4%","±0.5","5,322","±766","0.8%","±0.1"
"        No telephone service available","272","±116","0.6%","±0.2","6,859","±814","1.0%","±0.1"
"OCCUPANTS PER ROOM","","","","","","","",""
"    Occupied housing units","47,135","±1,021","47,135","(X)","679,428","±2,660","679,428","(X)"
"        1.00 or less","45,362","±1,171","96.2%","±0.6","659,351","±3,174","97.0%","±0.2"
"        1.01 to 1.50","882","±202","1.9%","±0.4","12,025","±1,148","1.8%","±0.2"
"        1.51 or more","891","±193","1.9%","±0.4","8,052","±1,059","1.2%","±0.2"
"VALUE","","","","","","","",""
"    Owner-occupied units","20,829","±792","20,829","(X)","351,905","±4,190","351,905","(X)"
