"Label (Grouping)","Berkeley city, California!!Total!!Estimate","Berkeley city, California!!Total!!Margin of Error","Berkeley city, California!!Percent!!Estimate","Berkeley city, California!!Percent!!Margin of Error","Berkeley city, California!!Male!!Estimate","Berkeley city, California!!Male!!Margin of Error","Berkeley city, California!!Percent Male!!Estimate","Berkeley city, California!!Percent Male!!Margin of Error","Berkeley city, California!!Female!!Estimate","Berkeley city, California!!Female!!Margin of Error","Berkeley city, California!!Percent Female!!Estimate","Berkeley city, California!!Percent Female!!Margin of Error","Philadelphia city, Pennsylvania!!Total!!Estimate","Philadelphia city, Pennsylvania!!Total!!Margin of Error","Philadelphia city, Pennsylvania!!Percent!!Estimate","Philadelphia city, Pennsylvania!!Percent!!Margin of Error","Philadelphia city, Pennsylvania!!Male!!Estimate","Philadelphia city, Pennsylvania!!Male!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Male!!Estimate","Philadelphia city, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia city, Pennsylvania!!Female!!Estimate","Philadelphia city, Pennsylvania!!Female!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Female!!Estimate","Philadelphia city, Pennsylvania!!Percent Female!!Margin of Error"
"Total population","120,257","±59","(X)","(X)","57,807","±1,129","(X)","(X)","62,450","±1,131","(X)","(X)","1,579,706","*****","(X)","(X)","747,386","±95","(X)","(X)","832,320","±95","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","3,991","±416","3.3%","±0.3","1,903","±338","3.3%","±0.6","2,088","±237","3.3%","±0.4","94,457","±46","6.0%","±0.1","47,919","±42","6.4%","±0.1","46,538","±64","5.6%","±0.1"
"        5 to 9 years","4,319","±461","3.6%","±0.4","2,180","±287","3.8%","±0.5","2,139","±364","3.4%","±0.6","89,137","±2,463","5.6%","±0.2","46,327","±1,476","6.2%","±0.2","42,810","±1,825","5.1%","±0.2"
"        10 to 14 years","4,152","±397","3.5%","±0.3","2,233","±314","3.9%","±0.5","1,919","±312","3.1%","±0.5","97,827","±2,462","6.2%","±0.2","48,930","±1,476","6.5%","±0.2","48,897","±1,824","5.9%","±0.2"
"        15 to 19 years","12,699","±892","10.6%","±0.7","6,046","±582","10.5%","±1.0","6,653","±709","10.7%","±1.1","102,041","±69","6.5%","±0.1","50,650","±44","6.8%","±0.1","51,391","±74","6.2%","±0.1"
"        20 to 24 years","19,249","±1,120","16.0%","±0.9","8,539","±741","14.8%","±1.2","10,710","±903","17.1%","±1.4","107,174","±118","6.8%","±0.1","51,803","±92","6.9%","±0.1","55,371","±89","6.7%","±0.1"
"        25 to 29 years","9,754","±801","8.1%","±0.7","4,598","±488","8.0%","±0.8","5,156","±576","8.3%","±0.9","140,837","±62","8.9%","±0.1","66,975","±32","9.0%","±0.1","73,862","±53","8.9%","±0.1"
"        30 to 34 years","9,115","±954","7.6%","±0.8","4,884","±667","8.4%","±1.1","4,231","±469","6.8%","±0.8","151,601","±103","9.6%","±0.1","73,415","±103","9.8%","±0.1","78,186","±4","9.4%","±0.1"
"        35 to 39 years","6,592","±577","5.5%","±0.5","3,355","±416","5.8%","±0.7","3,237","±344","5.2%","±0.5","116,437","±2,592","7.4%","±0.2","54,106","±1,769","7.2%","±0.2","62,331","±1,558","7.5%","±0.2"
"        40 to 44 years","7,133","±710","5.9%","±0.6","3,628","±433","6.3%","±0.7","3,505","±413","5.6%","±0.7","100,134","±2,585","6.3%","±0.2","49,566","±1,769","6.6%","±0.2","50,568","±1,555","6.1%","±0.2"
"        45 to 49 years","5,992","±577","5.0%","±0.5","3,214","±436","5.6%","±0.8","2,778","±343","4.4%","±0.6","82,632","±53","5.2%","±0.1","38,964","±21","5.2%","±0.1","43,668","±49","5.2%","±0.1"
"        50 to 54 years","5,800","±512","4.8%","±0.4","2,614","±300","4.5%","±0.5","3,186","±426","5.1%","±0.7","86,423","±77","5.5%","±0.1","40,867","±31","5.5%","±0.1","45,556","±69","5.5%","±0.1"
"        55 to 59 years","5,883","±633","4.9%","±0.5","2,928","±471","5.1%","±0.8","2,955","±360","4.7%","±0.6","88,748","±2,032","5.6%","±0.1","41,344","±1,206","5.5%","±0.2","47,404","±1,677","5.7%","±0.2"
"        60 to 64 years","5,478","±489","4.6%","±0.4","2,762","±373","4.8%","±0.7","2,716","±320","4.3%","±0.5","90,140","±2,031","5.7%","±0.1","41,171","±1,206","5.5%","±0.2","48,969","±1,678","5.9%","±0.2"
"        65 to 69 years","5,664","±629","4.7%","±0.5","2,655","±408","4.6%","±0.7","3,009","±355","4.8%","±0.6","77,990","±1,875","4.9%","±0.1","34,767","±1,067","4.7%","±0.1","43,223","±1,424","5.2%","±0.2"
"        70 to 74 years","5,897","±614","4.9%","±0.5","2,642","±351","4.6%","±0.6","3,255","±431","5.2%","±0.7","61,263","±1,881","3.9%","±0.1","25,868","±1,062","3.5%","±0.1","35,395","±1,424","4.3%","±0.2"
"        75 to 79 years","4,137","±428","3.4%","±0.4","1,848","±294","3.2%","±0.5","2,289","±283","3.7%","±0.5","41,131","±1,487","2.6%","±0.1","17,426","±869","2.3%","±0.1","23,705","±1,083","2.8%","±0.1"
"        80 to 84 years","2,309","±310","1.9%","±0.3","1,004","±191","1.7%","±0.3","1,305","±228","2.1%","±0.4","26,559","±1,109","1.7%","±0.1","9,654","±674","1.3%","±0.1","16,905","±947","2.0%","±0.1"
"        85 years and over","2,093","±345","1.7%","±0.3","774","±194","1.3%","±0.3","1,319","±262","2.1%","±0.4","25,175","±1,347","1.6%","±0.1","7,634","±684","1.0%","±0.1","17,541","±1,116","2.1%","±0.1"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","",""
"        5 to 14 years","8,471","±599","7.0%","±0.5","4,413","±392","7.6%","±0.6","4,058","±512","6.5%","±0.8","186,964","±26","11.8%","±0.1","95,257","±4","12.7%","±0.1","91,707","±26","11.0%","±0.1"
"        15 to 17 years","2,776","±391","2.3%","±0.3","1,351","±280","2.3%","±0.5","1,425","±260","2.3%","±0.4","53,378","±4","3.4%","±0.1","26,924","±35","3.6%","±0.1","26,454","±35","3.2%","±0.1"
