"Label (Grouping)","Philadelphia County, Pennsylvania!!Estimate","Philadelphia County, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error"
"Total:","327,523","±4,547","327,523","±4,547"
"    With cash rent:","315,745","±4,360","315,745","±4,360"
"        Less than $100","1,096","±469","1,096","±469"
"        $100 to $149","343","±184","343","±184"
"        $150 to $199","1,480","±406","1,480","±406"
"        $200 to $249","2,854","±519","2,854","±519"
"        $250 to $299","6,488","±948","6,488","±948"
"        $300 to $349","3,509","±614","3,509","±614"
"        $350 to $399","3,522","±675","3,522","±675"
"        $400 to $449","3,009","±513","3,009","±513"
"        $450 to $499","2,792","±658","2,792","±658"
"        $500 to $549","2,732","±638","2,732","±638"
"        $550 to $599","2,489","±475","2,489","±475"
"        $600 to $649","3,056","±793","3,056","±793"
"        $650 to $699","2,910","±805","2,910","±805"
"        $700 to $749","3,551","±673","3,551","±673"
"        $750 to $799","4,991","±890","4,991","±890"
"        $800 to $899","12,679","±1,518","12,679","±1,518"
"        $900 to $999","16,546","±1,551","16,546","±1,551"
"        $1,000 to $1,249","53,143","±3,231","53,143","±3,231"
"        $1,250 to $1,499","52,307","±2,755","52,307","±2,755"
"        $1,500 to $1,999","81,244","±3,011","81,244","±3,011"
"        $2,000 to $2,499","32,005","±1,568","32,005","±1,568"
"        $2,500 to $2,999","11,968","±1,026","11,968","±1,026"
"        $3,000 to $3,499","4,891","±726","4,891","±726"
"        $3,500 or more","6,140","±625","6,140","±625"
"    No cash rent","11,778","±1,292","11,778","±1,292"
