objectid,geography_name,year,geography,count_all_races_ethnicities,count_asian_pi_nh,count_black_nh,count_hispanic,count_multiracial_nh,count_white_nh,percent_asian_pi_nh,percent_black_nh,percent_hispanic,percent_multiracial_nh,percent_white_nh,Shape__Area,Shape__Length
1,Central,2010,Planning district,117132,11267,18066,6370,2476,78486,9.61906225,15.42362463,5.43830892,2.11385445,67.00645426,5346237.8046875,12358.4878252745
2,Central,2020,Planning district,151916,17481,15729,9557,6177,101885,11.50701704,10.35374812,6.29097659,4.06606282,67.06666842,5346237.8046875,12358.4878252745
3,Central Northeast,2010,Planning district,78266,9297,9102,8638,1395,48892,11.87872128,11.62957095,11.03672093,1.78238315,62.46901592,6862063.9140625,14586.1736334805
4,Central Northeast,2020,Planning district,85324,14237,12773,13723,3902,38826,16.68580939,14.96999672,16.08339975,4.57315644,45.50419577,6862063.9140625,14586.1736334805
5,Lower Far Northeast,2020,Planning district,72790,4728,7817,7214,2270,50224,6.49539772,10.73911252,9.91070202,3.11856024,68.9984888,9255681.546875,16113.3913352436
6,Lower Far Northeast,2010,Planning district,70340,2939,5739,4370,1111,55974,4.17827694,8.15894228,6.21268126,1.57947114,79.57634347,9255681.546875,16113.3913352436
7,Lower North,2010,Planning district,95176,1946,63803,14346,1492,13182,2.0446331,67.03685803,15.07312768,1.56762209,13.85013028,4935099.1015625,10200.4857206614
8,Lower North,2020,Planning district,104689,5404,56733,15319,3298,23146,5.16195589,54.19193994,14.63286496,3.15028322,22.10929515,4935099.1015625,10200.4857206614
9,Lower Northeast,2010,Planning district,100232,7575,43699,23205,2146,22644,7.55746668,43.59785298,23.15128901,2.1410328,22.59158752,4968554.78125,11397.9868991585
10,Lower Northeast,2020,Planning district,102978,7734,43640,32427,3231,14779,7.51034201,42.37798365,31.48925013,3.13756336,14.35160908,4968554.78125,11397.9868991585
11,Lower Northwest,2010,Planning district,50799,1681,4703,1624,896,41769,3.30912026,9.25805626,3.19691333,1.76381425,82.22405953,7778050.921875,15377.6024220767
12,Lower Northwest,2020,Planning district,54358,2486,6684,3042,2325,39481,4.57338386,12.29625814,5.59623239,4.27719931,72.63144339,7778050.921875,15377.6024220767
13,Lower South,2010,Planning district,5150,262,527,117,32,4191,5.08737864,10.23300971,2.27184466,0.62135922,81.37864078,7303340.921875,14698.2418901459
14,Lower South,2020,Planning district,5925,521,577,270,54,4465,8.79324895,9.73839662,4.55696203,0.91139241,75.35864979,7303340.921875,14698.2418901459
15,Lower Southwest,2020,Planning district,41892,3594,32512,1870,1104,2580,8.57920367,77.60909004,4.46385945,2.63534804,6.15869378,8383008.640625,14991.7475312192
16,Lower Southwest,2010,Planning district,42117,3341,32063,1318,811,4375,7.93266377,76.12840421,3.12937769,1.92558824,10.38772942,8383008.640625,14991.7475312192
