"Label (Grouping)","Philadelphia County, Pennsylvania!!Households!!Estimate","Philadelphia County, Pennsylvania!!Households!!Margin of Error","Philadelphia County, Pennsylvania!!Families!!Estimate","Philadelphia County, Pennsylvania!!Families!!Margin of Error","Philadelphia County, Pennsylvania!!Married-couple families!!Estimate","Philadelphia County, Pennsylvania!!Married-couple families!!Margin of Error","Philadelphia County, Pennsylvania!!Nonfamily households!!Estimate","Philadelphia County, Pennsylvania!!Nonfamily households!!Margin of Error","Philadelphia city, Pennsylvania!!Households!!Estimate","Philadelphia city, Pennsylvania!!Households!!Margin of Error","Philadelphia city, Pennsylvania!!Families!!Estimate","Philadelphia city, Pennsylvania!!Families!!Margin of Error","Philadelphia city, Pennsylvania!!Married-couple families!!Estimate","Philadelphia city, Pennsylvania!!Married-couple families!!Margin of Error","Philadelphia city, Pennsylvania!!Nonfamily households!!Estimate","Philadelphia city, Pennsylvania!!Nonfamily households!!Margin of Error"
"Total","679,428","±2,660","349,287","±4,278","185,505","±4,275","330,141","±4,480","679,428","±2,660","349,287","±4,278","185,505","±4,275","330,141","±4,480"
"    Less than $10,000","8.5%","±0.4","5.8%","±0.5","2.0%","±0.3","12.1%","±0.7","8.5%","±0.4","5.8%","±0.5","2.0%","±0.3","12.1%","±0.7"
"    $10,000 to $14,999","6.0%","±0.3","3.8%","±0.4","1.6%","±0.4","8.9%","±0.5","6.0%","±0.3","3.8%","±0.4","1.6%","±0.4","8.9%","±0.5"
"    $15,000 to $24,999","8.7%","±0.4","7.0%","±0.5","4.2%","±0.5","11.0%","±0.6","8.7%","±0.4","7.0%","±0.5","4.2%","±0.5","11.0%","±0.6"
"    $25,000 to $34,999","8.4%","±0.3","7.6%","±0.5","4.7%","±0.5","9.5%","±0.6","8.4%","±0.3","7.6%","±0.5","4.7%","±0.5","9.5%","±0.6"
"    $35,000 to $49,999","10.6%","±0.4","10.3%","±0.6","7.0%","±0.6","11.4%","±0.7","10.6%","±0.4","10.3%","±0.6","7.0%","±0.6","11.4%","±0.7"
"    $50,000 to $74,999","15.7%","±0.4","16.1%","±0.7","14.1%","±0.8","15.5%","±0.6","15.7%","±0.4","16.1%","±0.7","14.1%","±0.8","15.5%","±0.6"
"    $75,000 to $99,999","11.4%","±0.4","12.2%","±0.6","13.0%","±0.9","10.4%","±0.6","11.4%","±0.4","12.2%","±0.6","13.0%","±0.9","10.4%","±0.6"
"    $100,000 to $149,999","14.6%","±0.4","17.0%","±0.7","21.5%","±1.0","10.9%","±0.6","14.6%","±0.4","17.0%","±0.7","21.5%","±1.0","10.9%","±0.6"
"    $150,000 to $199,999","7.1%","±0.3","8.3%","±0.4","12.3%","±0.6","4.9%","±0.5","7.1%","±0.3","8.3%","±0.4","12.3%","±0.6","4.9%","±0.5"
"    $200,000 or more","8.9%","±0.3","11.8%","±0.5","19.5%","±0.8","5.3%","±0.4","8.9%","±0.3","11.8%","±0.5","19.5%","±0.8","5.3%","±0.4"
"Median income (dollars)","61,953","±919","74,005","±1,460","107,040","±1,979","46,022","±1,230","61,953","±919","74,005","±1,460","107,040","±1,979","46,022","±1,230"
"Mean income (dollars)","90,217","±1,391","106,406","±2,038","142,958","±2,915","69,283","±1,745","90,217","±1,391","106,406","±2,038","142,958","±2,915","69,283","±1,745"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","45.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","45.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","51.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","51.9%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","37.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.4%","(X)"
