"Label (Grouping)","Philadelphia County, Pennsylvania!!Total!!Estimate","Philadelphia County, Pennsylvania!!Total!!Margin of Error","Philadelphia County, Pennsylvania!!Percent!!Estimate","Philadelphia County, Pennsylvania!!Percent!!Margin of Error","Philadelphia County, Pennsylvania!!Male!!Estimate","Philadelphia County, Pennsylvania!!Male!!Margin of Error","Philadelphia County, Pennsylvania!!Percent Male!!Estimate","Philadelphia County, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia County, Pennsylvania!!Female!!Estimate","Philadelphia County, Pennsylvania!!Female!!Margin of Error","Philadelphia County, Pennsylvania!!Percent Female!!Estimate","Philadelphia County, Pennsylvania!!Percent Female!!Margin of Error","Philadelphia city, Pennsylvania!!Total!!Estimate","Philadelphia city, Pennsylvania!!Total!!Margin of Error","Philadelphia city, Pennsylvania!!Percent!!Estimate","Philadelphia city, Pennsylvania!!Percent!!Margin of Error","Philadelphia city, Pennsylvania!!Male!!Estimate","Philadelphia city, Pennsylvania!!Male!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Male!!Estimate","Philadelphia city, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia city, Pennsylvania!!Female!!Estimate","Philadelphia city, Pennsylvania!!Female!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Female!!Estimate","Philadelphia city, Pennsylvania!!Percent Female!!Margin of Error"
"Total population","1,579,706","*****","(X)","(X)","747,386","±95","(X)","(X)","832,320","±95","(X)","(X)","1,579,706","*****","(X)","(X)","747,386","±95","(X)","(X)","832,320","±95","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","94,457","±46","6.0%","±0.1","47,919","±42","6.4%","±0.1","46,538","±64","5.6%","±0.1","94,457","±46","6.0%","±0.1","47,919","±42","6.4%","±0.1","46,538","±64","5.6%","±0.1"
"        5 to 9 years","89,137","±2,463","5.6%","±0.2","46,327","±1,476","6.2%","±0.2","42,810","±1,825","5.1%","±0.2","89,137","±2,463","5.6%","±0.2","46,327","±1,476","6.2%","±0.2","42,810","±1,825","5.1%","±0.2"
"        10 to 14 years","97,827","±2,462","6.2%","±0.2","48,930","±1,476","6.5%","±0.2","48,897","±1,824","5.9%","±0.2","97,827","±2,462","6.2%","±0.2","48,930","±1,476","6.5%","±0.2","48,897","±1,824","5.9%","±0.2"
"        15 to 19 years","102,041","±69","6.5%","±0.1","50,650","±44","6.8%","±0.1","51,391","±74","6.2%","±0.1","102,041","±69","6.5%","±0.1","50,650","±44","6.8%","±0.1","51,391","±74","6.2%","±0.1"
"        20 to 24 years","107,174","±118","6.8%","±0.1","51,803","±92","6.9%","±0.1","55,371","±89","6.7%","±0.1","107,174","±118","6.8%","±0.1","51,803","±92","6.9%","±0.1","55,371","±89","6.7%","±0.1"
"        25 to 29 years","140,837","±62","8.9%","±0.1","66,975","±32","9.0%","±0.1","73,862","±53","8.9%","±0.1","140,837","±62","8.9%","±0.1","66,975","±32","9.0%","±0.1","73,862","±53","8.9%","±0.1"
"        30 to 34 years","151,601","±103","9.6%","±0.1","73,415","±103","9.8%","±0.1","78,186","±4","9.4%","±0.1","151,601","±103","9.6%","±0.1","73,415","±103","9.8%","±0.1","78,186","±4","9.4%","±0.1"
"        35 to 39 years","116,437","±2,592","7.4%","±0.2","54,106","±1,769","7.2%","±0.2","62,331","±1,558","7.5%","±0.2","116,437","±2,592","7.4%","±0.2","54,106","±1,769","7.2%","±0.2","62,331","±1,558","7.5%","±0.2"
