"Label (Grouping)","Philadelphia County, Pennsylvania!!Total!!Estimate","Philadelphia County, Pennsylvania!!Total!!Margin of Error","Philadelphia County, Pennsylvania!!Percent!!Estimate","Philadelphia County, Pennsylvania!!Percent!!Margin of Error","Philadelphia County, Pennsylvania!!Male!!Estimate","Philadelphia County, Pennsylvania!!Male!!Margin of Error","Philadelphia County, Pennsylvania!!Percent Male!!Estimate","Philadelphia County, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia County, Pennsylvania!!Female!!Estimate","Philadelphia County, Pennsylvania!!Female!!Margin of Error","Philadelphia County, Pennsylvania!!Percent Female!!Estimate","Philadelphia County, Pennsylvania!!Percent Female!!Margin of Error","Philadelphia city, Pennsylvania!!Total!!Estimate","Philadelphia city, Pennsylvania!!Total!!Margin of Error","Philadelphia city, Pennsylvania!!Percent!!Estimate","Philadelphia city, Pennsylvania!!Percent!!Margin of Error","Philadelphia city, Pennsylvania!!Male!!Estimate","Philadelphia city, Pennsylvania!!Male!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Male!!Estimate","Philadelphia city, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia city, Pennsylvania!!Female!!Estimate","Philadelphia city, Pennsylvania!!Female!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Female!!Estimate","Philadelphia city, Pennsylvania!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","155,837","±96","(X)","(X)","75,529","±86","(X)","(X)","80,308","±60","(X)","(X)","155,837","±96","(X)","(X)","75,529","±86","(X)","(X)","80,308","±60","(X)","(X)"
"        Less than high school graduate","17,597","±1,320","11.3%","±0.8","10,226","±1,102","13.5%","±1.5","7,371","±843","9.2%","±1.0","17,597","±1,320","11.3%","±0.8","10,226","±1,102","13.5%","±1.5","7,371","±843","9.2%","±1.0"
"        High school graduate (includes equivalency)","50,251","±2,095","32.2%","±1.3","26,193","±1,519","34.7%","±2.0","24,058","±1,464","30.0%","±1.8","50,251","±2,095","32.2%","±1.3","26,193","±1,519","34.7%","±2.0","24,058","±1,464","30.0%","±1.8"
"        Some college or associate's degree","60,839","±2,076","39.0%","±1.3","27,561","±1,437","36.5%","±1.9","33,278","±1,522","41.4%","±1.9","60,839","±2,076","39.0%","±1.3","27,561","±1,437","36.5%","±1.9","33,278","±1,522","41.4%","±1.9"
"        Bachelor's degree or higher","27,150","±1,578","17.4%","±1.0","11,549","±946","15.3%","±1.2","15,601","±1,148","19.4%","±1.4","27,150","±1,578","17.4%","±1.0","11,549","±946","15.3%","±1.2","15,601","±1,148","19.4%","±1.4"
"    Population 25 years and over","1,089,070","±103","(X)","(X)","501,757","±101","(X)","(X)","587,313","±66","(X)","(X)","1,089,070","±103","(X)","(X)","501,757","±101","(X)","(X)","587,313","±66","(X)","(X)"
"        Less than 9th grade","53,932","±2,445","5.0%","±0.2","25,862","±1,962","5.2%","±0.4","28,070","±1,384","4.8%","±0.2","53,932","±2,445","5.0%","±0.2","25,862","±1,962","5.2%","±0.4","28,070","±1,384","4.8%","±0.2"
"        9th to 12th grade, no diploma","79,231","±3,696","7.3%","±0.3","38,054","±2,364","7.6%","±0.5","41,177","±2,360","7.0%","±0.4","79,231","±3,696","7.3%","±0.3","38,054","±2,364","7.6%","±0.5","41,177","±2,360","7.0%","±0.4"
"        High school graduate (includes equivalency)","323,153","±5,612","29.7%","±0.5","157,264","±3,337","31.3%","±0.7","165,889","±4,301","28.2%","±0.7","323,153","±5,612","29.7%","±0.5","157,264","±3,337","31.3%","±0.7","165,889","±4,301","28.2%","±0.7"
